max_distance_list,0.2973169707858755,0.2973169707858755,0.2973169707858755,0.2973169707858755,0.2973169707858755,0.667149710658544,0.667149710658544,0.667149710658544,0.667149710658544,0.6999722281626986,0.6999722281626986,0.6999722281626986,0.6999722281626986,0.6999722281626986,0.6999722281626986,0.6999722281626986,0.6999722281626986,0.6999722281626986,0.6999722281626986,0.6999722281626986
max_distance,0.6999722281626986
a_s,-0.6786453275922426
b_s,-0.3968847759375577
c_s_1,-7.560296036705858
c_s_2,0.2526338110424202
c_s_3,-3.8517534332800927
c_s_4,-1.1534772993912439
a_a,0.7689991223233889
b_a,0.6401650402329825
c_a_1,2.0279363831973316
c_a_2,1.330781012400173
c_a_3,6.142392259055801
c_a_4,1.7003887297163587
